code;name;;en_name
101;Eisenstadt (Stadt) <101>;;
102;Rust (Stadt) <102>;;
103;Eisenstadt Umgebung <103>;;
104;Güssing <104>;;
105;Jennersdorf <105>;;
106;Mattersburg <106>;;
107;Neusiedl am See <107>;;
108;Oberpullendorf <108>;;
109;Oberwart <109>;;
201;Klagenfurt (Stadt) <201>;;
202;Villach (Stadt) <202>;;
210;Feldkirchen <210>;;
203;Hermagor <203>;;
204;Klagenfurt Land <204>;;
205;Sankt Veit an der Glan <205>;;
206;Spittal an der Drau <206>;;
207;Villach Land <207>;;
208;Völkermarkt <208>;;
209;Wolfsberg <209>;;
301;Krems an der Donau (Stadt) <301>;;
302;Sankt Pölten (Stadt) <302>;;
303;Waidhofen an der Ybbs (Stadt) <303>;;
304;Wiener Neustadt (Stadt) <304>;;
305;Amstetten <305>;;
306;Baden <306>;;
307;Bruck an der Leitha <307>;;
308;Gänserndorf <308>;;
309;Gmünd <309>;;
310;Hollabrunn <310>;;
311;Horn <311>;;
312;Korneuburg <312>;;
313;Krems Land <313>;;
314;Lilienfeld <314>;;
315;Melk <315>;;
316;Mistelbach <316>;;
317;Mödling <317>;;
318;Neunkirchen <318>;;
319;Sankt Pölten Land <319>;;
320;Scheibbs <320>;;
321;Tulln <321>;;
322;Waidhofen an der Thaya <322>;;
323;Wiener Neustadt Land <323>;;
325;Zwettl <325>;;
401;Linz (Stadt) <401>;;
402;Steyr (Stadt) <402>;;
403;Wels (Stadt) <403>;;
404;Braunau am Inn <404>;;
405;Eferding <405>;;
406;Freistadt <406>;;
407;Gmunden <407>;;
408;Grieskirchen <408>;;
409;Kirchdorf an der Krems <409>;;
410;Linz Land <410>;;
411;Perg <411>;;
412;Ried im Innkreis <412>;;
413;Rohrbach <413>;;
414;Schärding <414>;;
415;Steyr Land <415>;;
416;Urfahr Umgebung <416>;;
417;Vöcklabruck <417>;;
418;Wels Land <418>;;
501;Salzburg (Stadt) <501>;;
502;Hallein <502>;;
503;Salzburg Umgebung <503>;;
504;Sankt Johann im Pongau <504>;;
505;Tamsweg <505>;;
506;Zell am See <506>;;
601;Graz (Stadt) <601>;;
621;Bruck-Mürzzuschlag <621>;;
603;Deutschlandsberg <603>;;
606;Graz Umgebung <606>;;
622;Hartberg-Fürstenfeld <622>;;
610;Leibnitz <610>;;
611;Leoben <611>;;
612;Liezen <612>;;
620;Murtal <620>;;
614;Murau <614>;;
623;Südoststeiermark <623>;;
616;Voitsberg <616>;;
617;Weiz <617>;;
701;Innsbruck (Stadt) <701>;;
702;Imst <702>;;
703;Innsbruck Land <703>;;
704;Kitzbühel <704>;;
705;Kufstein <705>;;
706;Landeck <706>;;
707;Lienz <707>;;
708;Reutte <708>;;
709;Schwaz <709>;;
801;Bludenz <801>;;
802;Bregenz <802>;;
803;Dornbirn <803>;;
804;Feldkirch <804>;;
900;Wien <900>;;
901;Wien 1.,Innere Stadt <901>;;
902;Wien 2.,Leopoldstadt <902>;;
903;Wien 3.,Landstraße <903>;;
904;Wien 4.,Wieden <904>;;
905;Wien 5.,Margareten <905>;;
906;Wien 6.,Mariahilf <906>;;
907;Wien 7.,Neubau <907>;;
908;Wien 8.,Josefstadt <908>;;
909;Wien 9.,Alsergrund <909>;;
910;Wien 10.,Favoriten <910>;;
911;Wien 11.,Simmering <911>;;
912;Wien 12.,Meidling <912>;;
913;Wien 13.,Hietzing <913>;;
914;Wien 14.,Penzing <914>;;
915;Wien 15.,Rudolfsheim-Fünfhaus <915>;;
916;Wien 16.,Ottakring <916>;;
917;Wien 17.,Hernals <917>;;
918;Wien 18.,Währing <918>;;
919;Wien 19.,Döbling <919>;;
920;Wien 20.,Brigittenau <920>;;
921;Wien 21.,Floridsdorf <921>;;
922;Wien 22.,Donaustadt <922>;;
923;Wien 23.,Liesing <923>;;
